GeneInteraction,bait,prey,mssEffect,mss_direction,J_up_DMSO,J_up_Vorino,J_down_DMSO,J_down_Vorino,deltaJ_up,deltaJ_down,concordant_up,concordant_down,bait_in_DMSO,prey_in_DMSO,bait_in_Vorino,prey_in_Vorino
PPP1CA_HMGN1,PPP1CA,HMGN1,up,increase,0.02,0.06896551724137931,0.01098901098901099,0.0,0.048965517241379306,-0.01098901098901099,True,False,True,True,True,True
PPP1CA_PARP1,PPP1CA,PARP1,up,increase,0.047058823529411764,0.02857142857142857,0.0,0.03225806451612903,-0.018487394957983194,0.03225806451612903,False,True,True,True,True,True
PPP1CA_PPP1R13L,PPP1CA,PPP1R13L,up,increase,0.06,0.02608695652173913,0.021505376344086023,0.06896551724137931,-0.033913043478260865,0.047460140897293286,False,True,True,True,True,True
PPP1CA_RIF1,PPP1CA,RIF1,down,decrease,0.011764705882352941,0.0975609756097561,0.010309278350515464,0.034482758620689655,0.08579626972740316,0.024173480270174193,False,False,True,True,True,True
PPP1CA_TP53BP2,PPP1CA,TP53BP2,up,increase,0.038461538461538464,0.043478260869565216,0.030303030303030304,0.0,0.0050167224080267525,-0.030303030303030304,True,False,True,True,True,True
PPP1CC_EPPK1,PPP1CC,EPPK1,up,increase,0.012195121951219513,0.010309278350515464,0.024390243902439025,0.019230769230769232,-0.001885843600704049,-0.005159474671669793,False,False,True,True,True,True
PPP1CC_GAK,PPP1CC,GAK,down,decrease,0.022058823529411766,0.0,0.0375,0.0392156862745098,-0.022058823529411766,0.0017156862745098048,True,False,True,True,True,True
PPP1CC_MCM4,PPP1CC,MCM4,insig,posctl,0.0078125,0.07142857142857142,0.014492753623188406,0.017241379310344827,0.06361607142857142,0.0027486256871564214,,,True,True,True,True
PPP4C_CCDC6,PPP4C,CCDC6,up,increase,0.034482758620689655,0.06060606060606061,0.02666666666666667,0.046875,0.026123301985370953,0.02020833333333333,True,True,True,True,True,True
PRMT1_CSNK2A2,PRMT1,CSNK2A2,up,increase,0.0,0.0,0.0,0.06060606060606061,0.0,0.06060606060606061,False,True,True,True,True,True
PRMT1_FAM184B,PRMT1,FAM184B,lost,decrease,0.06666666666666667,0.0,0.0,0.0,-0.06666666666666667,0.0,True,False,True,True,True,True
PRMT1_MYCN,PRMT1,MYCN,gained,increase,0.0,0.0,0.09090909090909091,0.0,0.0,-0.09090909090909091,False,False,True,True,True,True
PRMT1_PRKACA,PRMT1,PRKACA,up,increase,0.043478260869565216,0.0,0.027777777777777776,0.02631578947368421,-0.043478260869565216,-0.0014619883040935672,False,False,True,True,True,True
PRMT1_S100A9,PRMT1,S100A9,up,increase,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,True,True
PRMT1_SHROOM3,PRMT1,SHROOM3,up,increase,,0.05555555555555555,,0.06451612903225806,,,,,True,False,True,True
PRMT1_STRBP,PRMT1,STRBP,up,increase,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,True,True
PRMT1_ZNF706,PRMT1,ZNF706,gained,increase,0.0,0.0,0.0,0.10714285714285714,0.0,0.10714285714285714,False,True,True,True,True,True
SIRT2_TUBB2B,SIRT2,TUBB2B,gained,increase,0.025,0.034482758620689655,0.0,0.0,0.009482758620689653,0.0,True,False,True,True,True,True
SMARCA4_AP2M1,SMARCA4,AP2M1,up,increase,0.00847457627118644,0.0380952380952381,0.018518518518518517,0.02654867256637168,0.02962066182405166,0.008030154047853164,True,True,True,True,True,True
SMARCA4_DPF2,SMARCA4,DPF2,down,decrease,0.04081632653061224,0.04081632653061224,0.013333333333333334,0.0,0.0,-0.013333333333333334,False,True,True,True,True,True
SMARCA4_GNAI2,SMARCA4,GNAI2,up,increase,0.0364963503649635,0.013333333333333334,0.022222222222222223,0.0,-0.023163017031630165,-0.022222222222222223,False,False,True,True,True,True
SMARCA4_BCL7B,SMARCA4,BCL7B,insig,posctl,0.008771929824561403,0.0,0.0,0.0,-0.008771929824561403,0.0,,,True,True,True,True
USP7_CUL3,USP7,CUL3,up,increase,,0.06451612903225806,,0.0,,,,,True,False,True,True
USP7_DNMT1,USP7,DNMT1,insig,posctl,0.0,0.04,0.0,0.03333333333333333,0.04,0.03333333333333333,,,True,True,True,True
YWHAE_CAMSAP3,YWHAE,CAMSAP3,up,increase,0.0,0.0,0.0,0.03125,0.0,0.03125,False,True,True,True,True,True
YWHAE_CDR2L,YWHAE,CDR2L,gained,increase,0.023809523809523808,0.017543859649122806,0.02857142857142857,0.04,-0.006265664160401002,0.01142857142857143,False,True,True,True,True,True
YWHAE_CNN3,YWHAE,CNN3,up,increase,0.038461538461538464,0.04054054054054054,0.07692307692307693,0.022222222222222223,0.002079002079002079,-0.0547008547008547,True,False,True,True,True,True
YWHAE_CORO1A,YWHAE,CORO1A,gained,increase,0.04,0.01694915254237288,0.03508771929824561,0.0,-0.02305084745762712,-0.03508771929824561,False,False,True,True,True,True
YWHAE_GIT1,YWHAE,GIT1,up,increase,0.03571428571428571,0.0,0.04411764705882353,0.043478260869565216,-0.03571428571428571,-0.0006393861892583161,False,False,True,True,True,True
YWHAE_GIT2,YWHAE,GIT2,up,increase,0.02127659574468085,0.045454545454545456,0.03571428571428571,0.1111111111111111,0.024177949709864605,0.07539682539682539,True,True,True,True,True,True
YWHAE_HAT1,YWHAE,HAT1,up,increase,0.0,0.09574468085106383,0.030303030303030304,0.027777777777777776,0.09574468085106383,-0.0025252525252525276,True,False,True,True,True,True
YWHAE_HTATSF1,YWHAE,HTATSF1,up,increase,0.020833333333333332,,0.009433962264150943,,,,,,True,True,True,False
YWHAE_MYCBP2,YWHAE,MYCBP2,up,increase,0.010869565217391304,0.03787878787878788,0.017543859649122806,0.012658227848101266,0.027009222661396576,-0.00488563180102154,True,False,True,True,True,True
YWHAE_PAK1,YWHAE,PAK1,gained,increase,0.017857142857142856,0.07692307692307693,0.0,0.03225806451612903,0.05906593406593407,0.03225806451612903,True,True,True,True,True,True
YWHAE_SYNJ2,YWHAE,SYNJ2,up,increase,0.022222222222222223,0.17391304347826086,0.0,0.02702702702702703,0.15169082125603864,0.02702702702702703,True,True,True,True,True,True
YWHAE_TK1,YWHAE,TK1,gained,increase,0.016666666666666666,0.13131313131313133,0.021739130434782608,0.0,0.11464646464646466,-0.021739130434782608,True,False,True,True,True,True
YWHAE_WDR7,YWHAE,WDR7,up,increase,0.0,0.0,0.09090909090909091,0.0,0.0,-0.09090909090909091,False,False,True,True,True,True
YWHAG_BAD,YWHAG,BAD,up,increase,0.09090909090909091,0.017543859649122806,0.04,0.0,-0.0733652312599681,-0.04,False,False,True,True,True,True
YWHAG_C1orf116,YWHAG,C1orf116,up,increase,0.0,0.017543859649122806,0.0,0.0,0.017543859649122806,0.0,True,False,True,True,True,True
YWHAG_EML3,YWHAG,EML3,up,increase,0.0,0.05714285714285714,0.02857142857142857,0.038461538461538464,0.05714285714285714,0.009890109890109893,True,True,True,True,True,True
YWHAQ_PFKFB2,YWHAQ,PFKFB2,up,increase,0.0,0.0625,0.07692307692307693,0.0,0.0625,-0.07692307692307693,True,False,True,True,True,True
YWHAQ_SRGAP2,YWHAQ,SRGAP2,gained,increase,,0.034482758620689655,,0.0,,,,,True,False,True,True
YWHAQ_FAM184B,YWHAQ,FAM184B,lost,decrease,0.15384615384615385,0.02631578947368421,0.0,0.0,-0.12753036437246965,0.0,True,False,True,True,True,True
YWHAE_EML3,YWHAE,EML3,up,increase,0.05,0.041666666666666664,0.0,0.0,-0.008333333333333338,0.0,False,False,True,True,True,True
YWHAE_YWHAG,YWHAE,YWHAG,up,increase,0.0,0.01694915254237288,0.02702702702702703,0.03225806451612903,0.01694915254237288,0.005231037489102003,True,True,True,True,True,True
HDAC3_CCN1,HDAC3,CCN1,up,increase,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,True,True
YWHAE_MBD3,YWHAE,MBD3,down,decrease,0.021739130434782608,0.0273972602739726,0.0,0.03225806451612903,0.005658129839189993,0.03225806451612903,False,False,True,True,True,True
YWHAE_MTA1,YWHAE,MTA1,down,decrease,0.0,0.02857142857142857,0.0,0.03125,0.02857142857142857,0.03125,False,False,True,True,True,True
SMARCA4_EPS15,SMARCA4,EPS15,up,increase,0.015384615384615385,0.0847457627118644,0.0,0.038461538461538464,0.06936114732724902,0.038461538461538464,True,True,True,True,True,True
BARD1_CITED2,BARD1,CITED2,up,increase,0.010416666666666666,0.1388888888888889,0.011494252873563218,0.08,0.12847222222222224,0.06850574712643678,True,True,True,True,True,True
PIM1_HDAC2,PIM1,HDAC2,insig,posctl,0.0625,0.0,0.0,0.0,-0.0625,0.0,,,True,True,True,True
YWHAG_YWHAE,YWHAG,YWHAE,insig,posctl,0.0,0.01694915254237288,0.02702702702702703,0.03225806451612903,0.01694915254237288,0.005231037489102003,,,True,True,True,True
