norm,metric,gene_set,n_genes,mean_sim_D,mean_sim_V,n_known,n_concordant,pct_all,n_up,n_up_conc,pct_up,n_dn,n_dn_conc,pct_dn,binom_p
Z-norm,Pearson,Union 5000,8803,0.15023289630481704,0.16616367280517028,83,53,63.855421686746986,46,39,84.78260869565217,37,14,37.83783783783784,0.007616100930997331
Z-norm,Pearson,Intersect 5000,1197,0.12269488140510117,0.14166972763539584,83,51,61.44578313253012,46,37,80.43478260869566,37,14,37.83783783783784,0.023762444628265912
Z-norm,Pearson,All Genes,35204,0.15357234714837623,0.1656381183406677,83,50,60.24096385542169,46,38,82.6086956521739,37,12,32.432432432432435,0.03920981240790382
Z-norm,Spearman,DMSO 500,500,0.14278729588175829,0.16321575773781757,83,47,56.626506024096386,46,32,69.56521739130434,37,15,40.54054054054054,0.136134472986024
Z-norm,Spearman,Vorino 500,500,0.15830509519341265,0.13807134128465454,83,36,43.373493975903614,46,17,36.95652173913044,37,19,51.351351351351354,0.9062700660169036
Z-norm,Spearman,Union 500,941,0.18159196389176283,0.20410101653145596,83,47,56.626506024096386,46,32,69.56521739130434,37,15,40.54054054054054,0.136134472986024
Z-norm,Spearman,Intersect 500,59,0.20112519926637734,0.12857998752208566,83,42,50.602409638554214,46,17,36.95652173913044,37,25,67.56756756756756,0.4999999999999998
Z-norm,Spearman,DMSO 1000,1000,0.13635074232565153,0.16063802131463245,83,49,59.036144578313255,46,34,73.91304347826087,37,15,40.54054054054054,0.06192652973090074
Z-norm,Spearman,Vorino 1000,1000,0.15942441172641236,0.14638661994786903,83,42,50.602409638554214,46,17,36.95652173913044,37,25,67.56756756756756,0.4999999999999998
Z-norm,Spearman,Union 1000,1861,0.17051167248707197,0.18275413263218127,83,46,55.42168674698795,46,31,67.3913043478261,37,15,40.54054054054054,0.18999969820595902
Z-norm,Spearman,Intersect 1000,139,0.1414543629703599,0.15452509060040284,83,44,53.01204819277108,46,27,58.69565217391305,37,17,45.945945945945944,0.3304418238806077
Z-norm,Spearman,DMSO 2000,2000,0.12698212733308126,0.1591900361372593,83,50,60.24096385542169,46,39,84.78260869565217,37,11,29.72972972972973,0.03920981240790382
Z-norm,Spearman,Vorino 2000,2000,0.15422566715125213,0.15184183706718843,83,51,61.44578313253012,46,29,63.04347826086956,37,22,59.45945945945946,0.023762444628265912
Z-norm,Spearman,Union 2000,3669,0.15472107778935967,0.17172620779564063,83,45,54.21686746987952,46,34,73.91304347826087,37,11,29.72972972972973,0.2552049708406172
