GeneInteraction,bait,prey,mssEffect,mss_direction,posCtl_Interaction,posCtl_source,denom_type,ctl_bait,ctl_prey,r_pair_DMSO,r_posCtl_DMSO,ratio_DMSO,diff_DMSO,r_pair_Vorino,r_posCtl_Vorino,ratio_Vorino,diff_Vorino,delta_ratio,delta_diff,ratio_DMSO_lo,ratio_DMSO_hi,ratio_Vorino_lo,ratio_Vorino_hi,diff_DMSO_lo,diff_DMSO_hi,diff_Vorino_lo,diff_Vorino_hi,at_or_above_DMSO,above_CI_DMSO,below_CI_DMSO,at_or_above_Vorino,above_CI_Vorino,below_CI_Vorino,measurable
BARD1_FXR2,BARD1,FXR2,up,increase,BARD1_BRCA1,Apms_Ppi,insig,BARD1,BRCA1,0.21703276125491244,0.17832803508166192,1.2170422959885496,0.03870472617325052,0.17152961826065444,0.179186246117168,0.9572700024559532,-0.007656627856513554,-0.25977229353259645,-0.046361354029764074,0.8531671770394686,1.7686501469032765,0.6698199630558582,1.3635674808819884,-0.0294740297825201,0.1061402539415104,-0.06690655342064765,0.051983418147259,True,False,False,False,False,False,True
BAZ1B_IFIT3,BAZ1B,IFIT3,down,decrease,BAZ1B_SMARCA5,Apms_Ppi,insig,BAZ1B,SMARCA5,0.17008705419441722,0.12389781304378286,1.3728011012939514,0.04618924115063436,0.15179919827378416,0.1104841945906485,1.3739449234002254,0.04131500368313566,0.0011438221062740617,-0.004874237467498696,0.8772398427106903,2.383367044339737,0.7990934799768225,2.614879807272246,-0.019095711710427458,0.10939373119412289,-0.03015540417598045,0.1096120944124935,True,False,False,True,False,False,True
BAZ1B_MX2,BAZ1B,MX2,down,decrease,BAZ1B_SMARCA5,Apms_Ppi,insig,BAZ1B,SMARCA5,0.16308651359903498,0.12389781304378286,1.3162985656688198,0.039188700555252115,0.15461175020926068,0.1104841945906485,1.3994015232867272,0.04412755561861219,0.08310295761790742,0.004938855063360073,0.7573280688339281,2.4005654181904776,0.8624812077032273,2.517155841751944,-0.0374420473683689,0.11389188344837832,-0.02027542722971596,0.10876942218218048,True,False,False,True,False,False,True
BAZ1B_PARP12,BAZ1B,PARP12,down,decrease,BAZ1B_SMARCA5,Apms_Ppi,insig,BAZ1B,SMARCA5,0.17080112304689185,0.12389781304378286,1.3785644705975104,0.04690331000310899,0.14821592009052886,0.1104841945906485,1.3415124275438581,0.03773172549988037,-0.037052043053652284,-0.009171584503228622,0.8575821485467758,2.4442840131239443,0.7661125327713235,2.48292156706577,-0.02345553510980164,0.11395103590569365,-0.0337249189228966,0.10592295544870041,True,False,False,True,False,False,True
BAZ1B_SMARCA5,BAZ1B,SMARCA5,insig,posctl,BAZ1B_SMARCA5,Apms_Ppi,self,BAZ1B,SMARCA5,0.12389781304378286,0.12389781304378286,1.0,0.0,0.1104841945906485,0.1104841945906485,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,True
BRPF1_CPSF3,BRPF1,CPSF3,down,decrease,BRPF1_ING4,Apms_Ppi,insig,BRPF1,ING4,0.0968085132404867,0.22249639738162982,0.43510148649480823,-0.12568788414114312,0.15784035835902055,0.24022208575139323,0.6570601444297264,-0.08238172739237268,0.22195865793491815,0.04330615674877045,0.20526665825911727,0.6819205479145136,0.45140503335112137,0.9499954982310871,-0.19219152050793825,-0.06235307789062467,-0.14766497369087295,-0.009366364616250384,False,False,True,False,False,True,True
BRPF1_IMMT,BRPF1,IMMT,down,decrease,BRPF1_ING4,Apms_Ppi,insig,BRPF1,ING4,0.13835205429826342,0.22249639738162982,0.6218170537878844,-0.08414434308336641,0.16512115483225592,0.24022208575139323,0.6873687501120961,-0.0751009309191373,0.06555169632421165,0.009043412164229103,0.38382979849316584,0.9592164222412808,0.46427772885147517,0.9847183945525039,-0.15965656386322882,-0.007118161920881596,-0.14331782816604025,-0.003304334189792958,False,False,True,False,False,True,True
BRPF1_ING4,BRPF1,ING4,insig,posctl,BRPF1_ING4,Apms_Ppi,self,BRPF1,ING4,0.22249639738162982,0.22249639738162982,1.0,0.0,0.24022208575139323,0.24022208575139323,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,True
CHD4_CDK2AP1,CHD4,CDK2AP1,down,decrease,CHD4_CDK2AP1,Diff_Ppi,self,CHD4,CDK2AP1,0.13000826427167686,0.13000826427167686,1.0,0.0,0.22576468642024905,0.22576468642024905,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,True
HDAC1_GATAD2B,HDAC1,GATAD2B,down,decrease,HDAC1_MBD3,Diff_Ppi,differential,HDAC1,MBD3,0.2146437818176372,0.16632828524317114,1.2904827432317303,0.04831549657446607,0.15227815911639506,0.19914056307327552,0.7646767527736826,-0.04686240395688046,-0.5258059904580477,-0.09517790053134653,0.9220281115534981,1.79796873853256,0.42920378071988263,1.1580097302007522,-0.01511927534231964,0.11068514886968663,-0.11446454169194592,0.028210030383013,True,False,False,False,False,False,True
